normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,length,width,height,curb-weight,num-of-cylinders,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price,Class
102,subaru,gas,turbo,four,sedan,4wd,front,172,65.4,54.3,2510,four,108,111,4800,24,29,11259,0
89,subaru,gas,std,four,wagon,fwd,front,173.5,65.4,53,2290,four,108,82,4800,28,32,7463,0
89,subaru,gas,std,four,wagon,fwd,front,173.5,65.4,53,2455,four,108,94,5200,25,31,10198,0
85,subaru,gas,std,four,wagon,4wd,front,173.6,65.4,54.9,2420,four,108,82,4800,23,29,8013,0
85,subaru,gas,turbo,four,wagon,4wd,front,173.6,65.4,54.9,2650,four,108,111,4800,23,23,11694,0
87,toyota,gas,std,two,hatchback,fwd,front,158.7,63.6,54.5,1985,four,92,62,4800,35,39,5348,1
87,toyota,gas,std,two,hatchback,fwd,front,158.7,63.6,54.5,2040,four,92,62,4800,31,38,6338,1
74,toyota,gas,std,four,hatchback,fwd,front,158.7,63.6,54.5,2015,four,92,62,4800,31,38,6488,1
77,toyota,gas,std,four,wagon,fwd,front,169.7,63.6,59.1,2280,four,92,62,4800,31,37,6918,0
81,toyota,gas,std,four,wagon,4wd,front,169.7,63.6,59.1,2290,four,92,62,4800,27,32,7898,0
91,toyota,gas,std,four,wagon,4wd,front,169.7,63.6,59.1,3110,four,92,62,4800,27,32,8778,0
91,toyota,gas,std,four,sedan,fwd,front,166.3,64.4,53,2081,four,98,70,4800,30,37,6938,0
91,toyota,gas,std,four,hatchback,fwd,front,166.3,64.4,52.8,2109,four,98,70,4800,30,37,7198,0
91,toyota,diesel,std,four,sedan,fwd,front,166.3,64.4,53,2275,four,110,56,4500,34,36,7898,0
91,toyota,diesel,std,four,hatchback,fwd,front,166.3,64.4,52.8,2275,four,110,56,4500,38,47,7788,0
91,toyota,gas,std,four,sedan,fwd,front,166.3,64.4,53,2094,four,98,70,4800,38,47,7738,0
91,toyota,gas,std,four,hatchback,fwd,front,166.3,64.4,52.8,2122,four,98,70,4800,28,34,8358,0
91,toyota,gas,std,four,sedan,fwd,front,166.3,64.4,52.8,2140,four,98,70,4800,28,34,9258,0
168,toyota,gas,std,two,sedan,rwd,front,168.7,64,52.6,2169,four,98,70,4800,29,34,8058,1
168,toyota,gas,std,two,hatchback,rwd,front,168.7,64,52.6,2204,four,98,70,4800,29,34,8238,1
168,toyota,gas,std,two,sedan,rwd,front,168.7,64,52.6,2265,four,98,112,6600,26,29,9298,1
168,toyota,gas,std,two,hatchback,rwd,front,168.7,64,52.6,2300,four,98,112,6600,26,29,9538,1
134,toyota,gas,std,two,hardtop,rwd,front,176.2,65.6,52,2540,four,146,116,4800,24,30,8449,2
134,toyota,gas,std,two,hardtop,rwd,front,176.2,65.6,52,2536,four,146,116,4800,24,30,9639,2
134,toyota,gas,std,two,hatchback,rwd,front,176.2,65.6,52,2551,four,146,116,4800,24,30,9989,2
134,toyota,gas,std,two,hardtop,rwd,front,176.2,65.6,52,2679,four,146,116,4800,24,30,11199,2
134,toyota,gas,std,two,hatchback,rwd,front,176.2,65.6,52,2714,four,146,116,4800,24,30,11549,2
134,toyota,gas,std,two,convertible,rwd,front,176.2,65.6,53,2975,four,146,116,4800,24,30,17669,2
65,toyota,gas,std,four,sedan,fwd,front,175.6,66.5,54.9,2326,four,122,92,4200,29,34,8948,-1
65,toyota,diesel,turbo,four,sedan,fwd,front,175.6,66.5,54.9,2480,four,110,73,4500,30,33,10698,-1
65,toyota,gas,std,four,hatchback,fwd,front,175.6,66.5,53.9,2414,four,122,92,4200,27,32,9988,-1
65,toyota,gas,std,four,sedan,fwd,front,175.6,66.5,54.9,2414,four,122,92,4200,27,32,10898,-1
65,toyota,gas,std,four,hatchback,fwd,front,175.6,66.5,53.9,2458,four,122,92,4200,27,32,11248,-1
197,toyota,gas,std,two,hatchback,rwd,front,183.5,67.7,52,2976,six,171,161,5200,20,24,16558,3
197,toyota,gas,std,two,hatchback,rwd,front,183.5,67.7,52,3016,six,171,161,5200,19,24,15998,3
90,toyota,gas,std,four,sedan,rwd,front,187.8,66.5,54.1,3131,six,171,156,5200,20,24,15690,-1
?,toyota,gas,std,four,wagon,rwd,front,187.8,66.5,54.1,3151,six,161,156,5200,19,24,15750,-1
122,volkswagen,diesel,std,two,sedan,fwd,front,171.7,65.5,55.7,2261,four,97,52,4800,37,46,7775,2
122,volkswagen,gas,std,two,sedan,fwd,front,171.7,65.5,55.7,2209,four,109,85,5250,27,34,7975,2
94,volkswagen,diesel,std,four,sedan,fwd,front,171.7,65.5,55.7,2264,four,97,52,4800,37,46,7995,2
94,volkswagen,gas,std,four,sedan,fwd,front,171.7,65.5,55.7,2212,four,109,85,5250,27,34,8195,2
94,volkswagen,gas,std,four,sedan,fwd,front,171.7,65.5,55.7,2275,four,109,85,5250,27,34,8495,2
94,volkswagen,diesel,turbo,four,sedan,fwd,front,171.7,65.5,55.7,2319,four,97,68,4500,37,42,9495,2
94,volkswagen,gas,std,four,sedan,fwd,front,171.7,65.5,55.7,2300,four,109,100,5500,26,32,9995,2
?,volkswagen,gas,std,two,convertible,fwd,front,159.3,64.2,55.6,2254,four,109,90,5500,24,29,11595,3
256,volkswagen,gas,std,two,hatchback,fwd,front,165.7,64,51.4,2221,four,109,90,5500,24,29,9980,3
?,volkswagen,gas,std,four,sedan,fwd,front,180.2,66.9,55.1,2661,five,136,110,5500,19,24,13295,0
?,volkswagen,diesel,turbo,four,sedan,fwd,front,180.2,66.9,55.1,2579,four,97,68,4500,33,38,13845,0
?,volkswagen,gas,std,four,wagon,fwd,front,183.1,66.9,55.1,2563,four,109,88,5500,25,31,12290,0
103,volvo,gas,std,four,sedan,rwd,front,188.8,67.2,56.2,2912,four,141,114,5400,23,28,12940,-2
74,volvo,gas,std,four,wagon,rwd,front,188.8,67.2,57.5,3034,four,141,114,5400,23,28,13415,-1
103,volvo,gas,std,four,sedan,rwd,front,188.8,67.2,56.2,2935,four,141,114,5400,24,28,15985,-2
74,volvo,gas,std,four,wagon,rwd,front,188.8,67.2,57.5,3042,four,141,114,5400,24,28,16515,-1
103,volvo,gas,turbo,four,sedan,rwd,front,188.8,67.2,56.2,3045,four,130,162,5100,17,22,18420,-2
74,volvo,gas,turbo,four,wagon,rwd,front,188.8,67.2,57.5,3157,four,130,162,5100,17,22,18950,-1
95,volvo,gas,std,four,sedan,rwd,front,188.8,68.9,55.5,2952,four,141,114,5400,23,28,16845,-1
95,volvo,gas,turbo,four,sedan,rwd,front,188.8,68.8,55.5,3049,four,141,160,5300,19,25,19045,-1
95,volvo,gas,std,four,sedan,rwd,front,188.8,68.9,55.5,3012,six,173,134,5500,18,23,21485,-1
95,volvo,diesel,turbo,four,sedan,rwd,front,188.8,68.9,55.5,3217,six,145,106,4800,26,27,22470,-1
95,volvo,gas,turbo,four,sedan,rwd,front,188.8,68.9,55.5,3062,four,141,114,5400,19,25,22625,-1
